date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:42	584/584	---MC-	200	added ('OK')	text/plain	date:Tue,%2024%20Apr%202018%2009:33:36%20GMT	https://mag.relax.ua/robots.txt		(from )
12:33:45	312100/312100	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:36%20GMT	https://mag.relax.ua/main/	C:/HobbyFinder/HFproj/mag.relax.ua/main/index.html	(from )
12:33:46	388/388	---M--	200	added ('OK')	application/javascript	etag:%225aafd975-184%22	https://static.relax.ua/js/global.js?6c4254956b8446853dbb6a42a95fd5ca	C:/HobbyFinder/HFproj/static.relax.ua/js/globalac49.js	(from https://mag.relax.ua/main/)
12:33:46	1355/1355	---M--	200	added ('OK')	image/png	etag:%225a37df9e-54b%22	https://static.relax.ua/images/favicons/favicon-120.png	C:/HobbyFinder/HFproj/static.relax.ua/images/favicons/favicon-120.png	(from https://mag.relax.ua/main/)
12:33:47	312259/312259	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Apr%202018%2009:33:40%20GMT	https://mag.relax.ua/main/?page=2	C:/HobbyFinder/HFproj/mag.relax.ua/main/index4658.html	(from https://mag.relax.ua/main/)
12:33:47	331/331	---M--	200	added ('OK')	image/png	etag:%225a37df9e-14b%22	https://static.relax.ua/images/favicons/favicon-16.png	C:/HobbyFinder/HFproj/static.relax.ua/images/favicons/favicon-16.png	(from https://mag.relax.ua/main/)
12:33:51	370267/370267	---M--	200	added ('OK')	text/css	etag:%225addd3d8-5a65b%22	https://static.relax.ua/css/journal/project_relaxua/all.css?6c4254956b8446853dbb6a42a95fd5ca	C:/HobbyFinder/HFproj/static.relax.ua/css/journal/project_relaxua/allac49.css	(from https://mag.relax.ua/main/)
12:33:53	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	http://www.google-analytics.com/analytics.js	C:/HobbyFinder/HFproj/www.google-analytics.com/analytics.js	(from https://mag.relax.ua/main/)
12:33:53	984/984	---M--	200	added ('OK')	image/png	etag:%2259c7e302-3d8%22	https://static.relax.ua/images/common/menu/499abdecc875d0968a1807fbb3d93543.png	C:/HobbyFinder/HFproj/static.relax.ua/images/common/menu/499abdecc875d0968a1807fbb3d93543.png	(from https://mag.relax.ua/main/)
12:33:53	1746/1746	---M--	200	added ('OK')	image/png	etag:%2259c7e303-6d2%22	https://static.relax.ua/images/common/menu/16a6ed220c99ca2d095028c71ba18e80.png	C:/HobbyFinder/HFproj/static.relax.ua/images/common/menu/16a6ed220c99ca2d095028c71ba18e80.png	(from https://mag.relax.ua/main/)
12:33:54	890/890	---M--	200	added ('OK')	image/png	etag:%2259c7e300-37a%22	https://static.relax.ua/images/common/menu/cd603d91cf9ad146ba62858f3ae97890.png	C:/HobbyFinder/HFproj/static.relax.ua/images/common/menu/cd603d91cf9ad146ba62858f3ae97890.png	(from https://mag.relax.ua/main/)
